"p","x","q","y","cond","id"
20,300,40,10,"Both",351
20,300,60,10,"Both",352
20,300,80,10,"Both",353
20,300,100,10,"Both",354
80,300,100,10,"Both",355
20,300,80,20,"Both",356
20,300,100,20,"Both",357
40,300,60,20,"Both",358
40,300,80,20,"Both",359
40,300,100,20,"Both",360
20,300,40,50,"Both",361
20,300,60,50,"Both",362
60,300,80,50,"Both",363
60,300,100,50,"Both",364
80,300,100,50,"Both",365
20,300,40,100,"Both",366
20,300,60,100,"Both",367
60,300,80,100,"Both",368
60,300,100,100,"Both",369
80,300,100,100,"Both",370
20,300,60,200,"Both",371
20,300,80,200,"Both",372
20,300,100,200,"Both",373
60,300,80,200,"Both",374
60,300,100,200,"Both",375
20,400,40,10,"Both",376
20,400,100,10,"Both",377
40,400,60,10,"Both",378
40,400,80,10,"Both",379
60,400,100,10,"Both",380
40,400,60,20,"Both",381
40,400,80,20,"Both",382
40,400,100,20,"Both",383
60,400,80,20,"Both",384
60,400,100,20,"Both",385
20,400,40,50,"Both",386
20,400,100,50,"Both",387
40,400,80,50,"Both",388
40,400,100,50,"Both",389
60,400,80,50,"Both",390
20,400,40,100,"Both",391
20,400,80,100,"Both",392
60,400,80,100,"Both",393
60,400,100,100,"Both",394
80,400,100,100,"Both",395
20,400,40,200,"Both",396
20,400,80,200,"Both",397
60,400,80,200,"Both",398
60,400,100,200,"Both",399
80,400,100,200,"Both",400
20,400,60,300,"Both",401
20,400,100,300,"Both",402
40,400,60,300,"Both",403
40,400,80,300,"Both",404
40,400,100,300,"Both",405
20,500,80,10,"Both",406
20,500,100,10,"Both",407
40,500,100,10,"Both",408
60,500,80,10,"Both",409
80,500,100,10,"Both",410
20,500,60,20,"Both",411
20,500,100,20,"Both",412
40,500,100,20,"Both",413
60,500,80,20,"Both",414
80,500,100,20,"Both",415
20,500,60,50,"Both",416
20,500,80,50,"Both",417
40,500,100,50,"Both",418
60,500,80,50,"Both",419
80,500,100,50,"Both",420
20,500,40,100,"Both",421
20,500,80,100,"Both",422
20,500,100,100,"Both",423
60,500,80,100,"Both",424
80,500,100,100,"Both",425
20,500,60,200,"Both",426
40,500,60,200,"Both",427
40,500,80,200,"Both",428
40,500,100,200,"Both",429
60,500,100,200,"Both",430
20,500,60,300,"Both",431
20,500,100,300,"Both",432
40,500,60,300,"Both",433
60,500,80,300,"Both",434
80,500,100,300,"Both",435
20,500,60,400,"Both",436
20,500,80,400,"Both",437
40,500,60,400,"Both",438
60,500,100,400,"Both",439
80,500,100,400,"Both",440
